  分治：12 块 144 对，可行 40 对，整块淘汰掉 0 格
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
全局阶段：固定 0 条边，起点候选 50288 / 50288 (100.0%)
adaptive PROPDEPTH=2 (fixed 0 / 71581 edges; 第一层存活率>=SURVDEEP%再升深层)
T1 sh7 cell=(20,0) PROBE0 nodes=52
T2 sh3 cell=(90,51) PROBE0 nodes=10245
T3[t=1514s] shard1 r0 #295 cell=(115,62) sc=49506 nodes=2109 r=0
DEATH sh14 liveend=0 estate=1953075 reach=1453400 dyn=143981 flow=0 geom=369306
PDEV sh14 try=0 kill=0 (0.0%) BJ try=26344 kill=16604 nodes=2097152
T3[t=1514s] shard1 r0 #296 cell=(173,62) sc=49910 nodes=654 r=0
T2 sh3 cell=(117,52) PROBE0 nodes=1968
T3[t=1514s] shard4 r0 #239 cell=(85,34) sc=49754 nodes=32646 r=0
T3[t=1514s] shard25 r0 #273 cell=(19,88) sc=49275 nodes=29930 r=0
T2 sh17 cell=(209,6) PROBE0 nodes=23934
T2 sh18 cell=(13,80) PROBE0 nodes=16349
T3[t=1516s] shard23 r0 #5 cell=(240,62) sc=49334 nodes=46688 r=0
T3[t=1516s] shard13 r0 #299 cell=(8,63) sc=49710 nodes=54824 r=0
T2 sh9 cell=(174,73) PROBE0 nodes=1802
T2 sh12 cell=(95,76) PROBE0 nodes=18854
T2 sh12 cell=(147,76) PROBE0 nodes=733
T3[t=1518s] shard8 r0 #289 cell=(9,36) sc=49251 nodes=310631 r=0
T3[t=1519s] shard8 r0 #290 cell=(251,40) sc=49669 nodes=666 r=0
T2 sh6 cell=(176,61) PROBE0 nodes=1286
T3[t=1519s] shard8 r0 #291 cell=(113,42) sc=49086 nodes=2649 r=0
T2 sh17 cell=(194,45) PROBE0 nodes=25508
T3[t=1519s] shard8 r0 #292 cell=(112,43) sc=49085 nodes=2647 r=0
DEATH sh19 liveend=0 estate=4445266 reach=3614730 dyn=120106 flow=0 geom=1020250
PDEV sh19 try=0 kill=0 (0.0%) BJ try=58208 kill=50020 nodes=1048576
T3[t=1520s] shard4 r0 #240 cell=(200,37) sc=49670 nodes=41554 r=0
T3[t=1520s] shard4 r0 #241 cell=(79,38) sc=49559 nodes=829 r=0
DEATH sh22 liveend=0 estate=4142693 reach=3336504 dyn=125921 flow=0 geom=938192
PDEV sh22 try=0 kill=0 (0.0%) BJ try=54236 kill=45791 nodes=2097152
T2 sh12 cell=(106,77) PROBE0 nodes=10340
T3[t=1522s] shard4 r0 #242 cell=(236,41) sc=49346 nodes=9943 r=0
T2 sh15 cell=(95,56) PROBE0 nodes=19628
T3[t=1522s] shard14 r0 #325 cell=(37,64) sc=49741 nodes=3000001 r=-1
T3[t=1523s] shard8 r0 #293 cell=(218,43) sc=49305 nodes=24577 r=0
T3[t=1524s] shard13 r0 #300 cell=(189,66) sc=49053 nodes=52619 r=0
T2 sh15 cell=(211,56) PROBE0 nodes=7112
T2 sh21 cell=(257,64) PROBE0 nodes=890
T2 sh17 cell=(80,137) PROBE0 nodes=2317
T2 sh17 cell=(135,140) PROBE0 nodes=681
T3[t=1524s] shard13 r0 #301 cell=(243,66) sc=49318 nodes=3937 r=0
DEATH sh7 liveend=0 estate=3563925 reach=2829389 dyn=131955 flow=0 geom=786726
PDEV sh7 try=0 kill=0 (0.0%) BJ try=46903 kill=37945 nodes=1048576
T3[t=1525s] shard4 r0 #243 cell=(97,42) sc=49505 nodes=19796 r=0
T2 sh17 cell=(107,180) PROBE0 nodes=5400
T3[t=1526s] shard5 r0 #303 cell=(18,29) sc=49526 nodes=155568 r=0
T2 sh17 cell=(244,181) PROBE0 nodes=736
T2 sh18 cell=(101,82) PROBE0 nodes=15819
T2 sh17 cell=(139,246) PROBE0 nodes=3020
T2 sh18 cell=(227,82) PROBE0 nodes=977
T3[t=1526s] shard14 r0 #326 cell=(239,64) sc=49030 nodes=25513 r=0
T2 sh18 cell=(232,89) PROBE0 nodes=717
T2 sh17 cell=(147,252) PROBE0 nodes=2940
T3[t=1527s] shard5 r0 #304 cell=(76,29) sc=49573 nodes=9556 r=0
T3[t=1528s] shard5 r0 #305 cell=(97,30) sc=49675 nodes=1277 r=0
DEATH sh2 liveend=0 estate=3105109 reach=2447427 dyn=131152 flow=0 geom=672517
PDEV sh2 try=0 kill=0 (0.0%) BJ try=41133 kill=32179 nodes=1048576
T2 sh12 cell=(213,78) PROBE0 nodes=4028
T2 sh17 cell=(209,8) PROBE0 nodes=13256
T2 sh17 cell=(113,60) PROBE0 nodes=1936
T3[t=1530s] shard22 r0 #322 cell=(46,65) sc=49653 nodes=3000001 r=-1
T3[t=1531s] shard22 r0 #323 cell=(162,65) sc=49890 nodes=859 r=0
T3[t=1531s] shard5 r0 #306 cell=(77,32) sc=49734 nodes=9203 r=0
T2 sh17 cell=(213,72) PROBE0 nodes=3872
DEATH sh19 liveend=0 estate=4607029 reach=3751330 dyn=120118 flow=0 geom=1061016
PDEV sh19 try=0 kill=0 (0.0%) BJ try=60305 kill=52110 nodes=2097152
T2 sh17 cell=(210,73) PROBE0 nodes=3880
T2 sh21 cell=(100,65) PROBE0 nodes=19768
T3[t=1536s] shard22 r0 #324 cell=(218,65) sc=49524 nodes=9008 r=0
T2 sh12 cell=(208,79) PROBE0 nodes=13098
T3[t=1537s] shard5 r0 #307 cell=(227,32) sc=49419 nodes=11137 r=0
T3[t=1539s] shard1 r0 #297 cell=(34,63) sc=49340 nodes=110959 r=0
T2 sh21 cell=(216,65) PROBE0 nodes=5894
T3[t=1541s] shard1 r0 #298 cell=(110,63) sc=49529 nodes=2623 r=0
T2 sh9 cell=(213,76) PROBE0 nodes=4227
T2 sh24 cell=(65,54) PROBE0 nodes=718
T3[t=1544s] shard16 r0 #315 cell=(14,59) sc=49691 nodes=199573 r=0
T2 sh17 cell=(2,89) PROBE0 nodes=17513
T3[t=1545s] shard1 r0 #299 cell=(228,63) sc=49121 nodes=7824 r=0
T2 sh17 cell=(119,134) PROBE0 nodes=1953
T2 sh24 cell=(127,54) PROBE0 nodes=8151
T2 sh17 cell=(84,157) PROBE0 nodes=1134
T2 sh18 cell=(209,94) PROBE0 nodes=8414
T2 sh17 cell=(227,180) PROBE0 nodes=3337
DEATH sh7 liveend=0 estate=3725334 reach=2966765 dyn=131955 flow=0 geom=827548
PDEV sh7 try=0 kill=0 (0.0%) BJ try=49000 kill=40032 nodes=2097152
T3[t=1550s] shard4 r0 #244 cell=(212,43) sc=49466 nodes=64652 r=0
T2 sh17 cell=(46,187) PROBE0 nodes=1685
T2 sh17 cell=(247,156) PROBE0 nodes=2200
T2 sh12 cell=(206,81) PROBE0 nodes=26268
T2 sh17 cell=(224,141) PROBE0 nodes=2191
T2 sh12 cell=(162,83) PROBE0 nodes=855
T2 sh17 cell=(11,236) PROBE0 nodes=1893
T2 sh12 cell=(122,87) PROBE0 nodes=1679
T2 sh12 cell=(250,87) PROBE0 nodes=775
T2 sh3 cell=(120,55) PROBE0 nodes=7851
T3[t=1555s] shard16 r0 #316 cell=(239,60) sc=49556 nodes=29235 r=0
T2 sh17 cell=(110,163) PROBE0 nodes=3216
T2 sh12 cell=(123,88) PROBE0 nodes=1676
T2 sh17 cell=(81,58) PROBE0 nodes=1363
T3[t=1557s] shard5 r0 #308 cell=(223,34) sc=49573 nodes=41580 r=0
DEATH sh2 liveend=0 estate=3266756 reach=2584863 dyn=131157 flow=0 geom=713449
PDEV sh2 try=0 kill=0 (0.0%) BJ try=43230 kill=34269 nodes=2097152
T2 sh15 cell=(146,61) PROBE0 nodes=2253
T3[t=1561s] shard19 r0 #323 cell=(40,65) sc=49673 nodes=3000001 r=-1
T3[t=1562s] shard25 r0 #274 cell=(48,71) sc=49633 nodes=159934 r=0
T3[t=1565s] shard25 r0 #275 cell=(216,61) sc=49530 nodes=4613 r=0
T2 sh9 cell=(122,79) PROBE0 nodes=4004
T3[t=1566s] shard4 r0 #245 cell=(219,44) sc=49315 nodes=24731 r=0
T2 sh9 cell=(126,81) PROBE0 nodes=1959
T2 sh18 cell=(252,97) PROBE0 nodes=945
T2 sh9 cell=(256,81) PROBE0 nodes=756
T3[t=1568s] shard16 r0 #317 cell=(16,63) sc=49682 nodes=18802 r=0
T3[t=1570s] shard16 r0 #318 cell=(148,63) sc=49741 nodes=1429 r=0
T2 sh9 cell=(131,82) PROBE0 nodes=2341
T2 sh9 cell=(156,83) PROBE0 nodes=853
T2 sh17 cell=(212,23) PROBE0 nodes=22617
T2 sh17 cell=(220,111) PROBE0 nodes=4654
T3[t=1573s] shard25 r0 #276 cell=(10,185) sc=49023 nodes=16185 r=0
T2 sh9 cell=(222,85) PROBE0 nodes=4520
T2 sh17 cell=(123,66) PROBE0 nodes=5518
probe[t=1576s]: 50211/50288 起点被证伪，剩 77
DEATH liveend=0 estate=819862 reach=466490 dyn=158840 flow=0 geom=68568
DYN shard17: 421352 calls, 158840 refuted (38%)
T3[t=1577s] shard7 r0 #277 cell=(48,57) sc=49643 nodes=3000001 r=-1
T3[t=1577s] shard13 r0 #302 cell=(198,67) sc=49028 nodes=158923 r=0
T3[t=1577s] shard7 r0 #278 cell=(7,58) sc=49800 nodes=682 r=0
T3[t=1578s] shard4 r0 #246 cell=(97,48) sc=49766 nodes=19379 r=0
T2 sh15 cell=(115,64) PROBE0 nodes=4532
T3[t=1580s] shard5 r0 #309 cell=(82,35) sc=49768 nodes=32644 r=0
T3[t=1580s] shard16 r0 #319 cell=(200,63) sc=49143 nodes=28035 r=0
T2 sh12 cell=(126,91) PROBE0 nodes=7761
T3[t=1581s] shard23 r0 #6 cell=(29,63) sc=49680 nodes=189261 r=0
T3[t=1581s] shard25 r0 #277 cell=(221,2) sc=49033 nodes=18450 r=0
T2 sh9 cell=(212,89) PROBE0 nodes=12845
T3[t=1581s] shard25 r0 #278 cell=(258,9) sc=49806 nodes=699 r=0
T3[t=1581s] shard16 r0 #320 cell=(119,64) sc=49500 nodes=2610 r=0
T2 sh9 cell=(118,91) PROBE0 nodes=1684
T3[t=1582s] shard16 r0 #321 cell=(119,66) sc=49498 nodes=2287 r=0
T3[t=1582s] shard2 r0 #298 cell=(34,57) sc=49771 nodes=3000001 r=-1
T2 sh0 cell=(66,49) PROBE0 nodes=3052
T2 sh9 cell=(258,95) PROBE0 nodes=750
T3[t=1583s] shard2 r0 #299 cell=(118,57) sc=49487 nodes=2311 r=0
T2 sh12 cell=(115,94) PROBE0 nodes=7840
T3[t=1583s] shard5 r0 #310 cell=(62,37) sc=49782 nodes=9617 r=0
T2 sh18 cell=(25,98) PROBE0 nodes=30293
T2 sh9 cell=(133,98) PROBE0 nodes=4897
T2 sh9 cell=(139,100) PROBE0 nodes=4988
T3[t=1585s] shard25 r0 #279 cell=(209,12) sc=49055 nodes=22237 r=0
T2 sh9 cell=(225,102) PROBE0 nodes=4461
T2 sh0 cell=(213,50) PROBE0 nodes=14397
T3[t=1586s] shard2 r0 #300 cell=(5,60) sc=49712 nodes=18282 r=0
T3[t=1586s] shard19 r0 #324 cell=(212,65) sc=49478 nodes=69872 r=0
T3[t=1587s] shard2 r0 #301 cell=(147,60) sc=49739 nodes=667 r=0
T2 sh9 cell=(226,105) PROBE0 nodes=4380
T2 sh18 cell=(134,101) PROBE0 nodes=14444
T3[t=1587s] shard25 r0 #280 cell=(210,13) sc=49438 nodes=12750 r=0
T3[t=1587s] shard25 r0 #281 cell=(71,20) sc=49819 nodes=1478 r=0
T3[t=1587s] shard25 r0 #282 cell=(95,24) sc=49647 nodes=998 r=0
T2 sh9 cell=(97,116) PROBE0 nodes=1894
T3[t=1588s] shard17 r0 #0 cell=(216,8) sc=49182 nodes=60539 r=0
T3[t=1588s] shard25 r0 #283 cell=(62,25) sc=49806 nodes=987 r=0
T3[t=1588s] shard16 r0 #322 cell=(197,66) sc=49164 nodes=42677 r=0
T3[t=1588s] shard13 r0 #303 cell=(53,68) sc=49746 nodes=48674 r=0
T2 sh18 cell=(121,104) PROBE0 nodes=10381
T2 sh18 cell=(271,108) PROBE0 nodes=979
T2 sh9 cell=(151,116) PROBE0 nodes=7441
T3[t=1589s] shard25 r0 #284 cell=(82,33) sc=49766 nodes=9224 r=0
T2 sh6 cell=(64,67) PROBE0 nodes=667
T2 sh21 cell=(152,67) PROBE0 nodes=768
T3[t=1590s] shard16 r0 #323 cell=(183,68) sc=49219 nodes=17836 r=0
T2 sh9 cell=(137,118) PROBE0 nodes=4267
T3[t=1590s] shard16 r0 #324 cell=(255,68) sc=49787 nodes=670 r=0
T2 sh18 cell=(16,117) PROBE0 nodes=6940
T2 sh12 cell=(115,96) PROBE0 nodes=3356
T2 sh18 cell=(16,119) PROBE0 nodes=661
T2 sh12 cell=(169,96) PROBE0 nodes=757
T3[t=1591s] shard13 r0 #304 cell=(177,68) sc=49155 nodes=26863 r=0
T2 sh18 cell=(90,119) PROBE0 nodes=2195
T2 sh12 cell=(137,98) PROBE0 nodes=4121
T3[t=1592s] shard25 r0 #285 cell=(68,35) sc=49768 nodes=13100 r=0
T2 sh9 cell=(126,119) PROBE0 nodes=9353
T3[t=1592s] shard13 r0 #305 cell=(235,70) sc=49329 nodes=5350 r=0
T2 sh9 cell=(216,121) PROBE0 nodes=1928
T2 sh18 cell=(102,123) PROBE0 nodes=1881
T2 sh18 cell=(151,124) PROBE0 nodes=787
T3[t=1593s] shard2 r0 #302 cell=(209,60) sc=49065 nodes=43020 r=0
T2 sh3 cell=(122,57) PROBE0 nodes=7195
T2 sh0 cell=(111,52) PROBE0 nodes=8271
T2 sh0 cell=(241,52) PROBE0 nodes=689
T2 sh18 cell=(216,125) PROBE0 nodes=3816
T2 sh0 cell=(7,54) PROBE0 nodes=667
T2 sh9 cell=(144,123) PROBE0 nodes=5921
T2 sh18 cell=(217,126) PROBE0 nodes=3257
T2 sh9 cell=(200,123) PROBE0 nodes=3708
T3[t=1594s] shard23 r0 #7 cell=(202,64) sc=49129 nodes=102879 r=0
T2 sh15 cell=(86,67) PROBE0 nodes=8306
T2 sh9 cell=(196,125) PROBE0 nodes=3676
T2 sh24 cell=(205,60) PROBE0 nodes=17595
T3[t=1595s] shard13 r0 #306 cell=(186,71) sc=49293 nodes=26926 r=0
T3[t=1595s] shard17 r0 #1 cell=(200,40) sc=49480 nodes=66106 r=0
T3[t=1595s] shard13 r0 #307 cell=(135,72) sc=49356 nodes=935 r=0
T2 sh6 cell=(153,68) PROBE0 nodes=983
T2 sh9 cell=(199,126) PROBE0 nodes=3008
T2 sh18 cell=(96,127) PROBE0 nodes=6905
T2 sh9 cell=(206,127) PROBE0 nodes=1610
T2 sh9 cell=(8,129) PROBE0 nodes=6186
T3[t=1597s] shard22 r0 #325 cell=(11,66) sc=49690 nodes=191934 r=0
T2 sh12 cell=(22,103) PROBE0 nodes=668
T3[t=1598s] shard22 r0 #326 cell=(214,67) sc=49622 nodes=8191 r=0
T2 sh9 cell=(99,138) PROBE0 nodes=3576
T2 sh15 cell=(61,68) PROBE0 nodes=739
T3[t=1599s] shard13 r0 #308 cell=(193,72) sc=49094 nodes=30644 r=0
T3[t=1599s] shard20 r0 #315 cell=(20,59) sc=49652 nodes=334139 r=0
T2 sh12 cell=(33,104) PROBE0 nodes=7257
T2 sh18 cell=(92,129) PROBE0 nodes=15023
T3[t=1599s] shard20 r0 #316 cell=(131,60) sc=49988 nodes=686 r=0
T3[t=1600s] shard7 r0 #279 cell=(209,58) sc=49534 nodes=132023 r=0
T2 sh9 cell=(78,141) PROBE0 nodes=1877
T2 sh18 cell=(97,130) PROBE0 nodes=1840
T2 sh24 cell=(167,62) PROBE0 nodes=1146
T3[t=1601s] shard25 r0 #286 cell=(200,35) sc=49393 nodes=66320 r=0
T2 sh9 cell=(81,142) PROBE0 nodes=6719
T2 sh6 cell=(86,69) PROBE0 nodes=1178
T2 sh18 cell=(204,133) PROBE0 nodes=6522
T3[t=1602s] shard20 r0 #317 cell=(193,60) sc=49079 nodes=16368 r=0
T3[t=1602s] shard20 r0 #318 cell=(98,61) sc=49776 nodes=853 r=0
T2 sh9 cell=(127,144) PROBE0 nodes=2666
T2 sh18 cell=(213,134) PROBE0 nodes=3161
T3[t=1602s] shard25 r0 #287 cell=(241,36) sc=49524 nodes=10300 r=0
T2 sh15 cell=(119,68) PROBE0 nodes=10841
T2 sh3 cell=(90,59) PROBE0 nodes=8006
T2 sh9 cell=(251,144) PROBE0 nodes=1396
T3[t=1603s] shard17 r0 #2 cell=(204,42) sc=49852 nodes=67066 r=0
T3[t=1604s] shard7 r0 #280 cell=(238,59) sc=49568 nodes=29383 r=0
T2 sh18 cell=(211,136) PROBE0 nodes=8701
T2 sh18 cell=(202,137) PROBE0 nodes=1384
T2 sh21 cell=(114,69) PROBE0 nodes=16047
T2 sh9 cell=(200,145) PROBE0 nodes=9472
T2 sh9 cell=(89,146) PROBE0 nodes=718
DEATH sh2 liveend=0 estate=3574159 reach=2842574 dyn=133742 flow=0 geom=788965
PDEV sh2 try=0 kill=0 (0.0%) BJ try=47260 kill=38116 nodes=1048576
T2 sh9 cell=(225,146) PROBE0 nodes=4631
T2 sh18 cell=(121,138) PROBE0 nodes=4166
T2 sh12 cell=(220,107) PROBE0 nodes=1917
T2 sh18 cell=(246,139) PROBE0 nodes=5850
T2 sh9 cell=(98,149) PROBE0 nodes=7009
T2 sh18 cell=(245,140) PROBE0 nodes=1457
T2 sh12 cell=(136,109) PROBE0 nodes=5523
T3[t=1608s] shard14 r0 #327 cell=(30,65) sc=49327 nodes=298790 r=0
DEATH sh16 liveend=0 estate=3582496 reach=2826238 dyn=142724 flow=0 geom=778014
PDEV sh16 try=0 kill=0 (0.0%) BJ try=47380 kill=37497 nodes=1048576
T2 sh21 cell=(93,70) PROBE0 nodes=18911
T2 sh9 cell=(224,151) PROBE0 nodes=5453
T2 sh18 cell=(253,142) PROBE0 nodes=8778
T2 sh21 cell=(255,70) PROBE0 nodes=1819
T2 sh18 cell=(150,143) PROBE0 nodes=791
T3[t=1610s] shard10 r0 #280 cell=(31,64) sc=49460 nodes=486862 r=0
T2 sh6 cell=(123,72) PROBE0 nodes=17900
T2 sh9 cell=(77,152) PROBE0 nodes=3456
T2 sh18 cell=(218,143) PROBE0 nodes=7340
T2 sh0 cell=(116,55) PROBE0 nodes=4701
T2 sh9 cell=(211,152) PROBE0 nodes=3861
T3[t=1611s] shard10 r0 #281 cell=(105,64) sc=49154 nodes=6228 r=0
T2 sh3 cell=(6,61) PROBE0 nodes=18894
T2 sh18 cell=(209,144) PROBE0 nodes=4484
T2 sh6 cell=(110,73) PROBE0 nodes=9198
T2 sh9 cell=(236,153) PROBE0 nodes=4949
T2 sh18 cell=(218,145) PROBE0 nodes=5358
T2 sh9 cell=(268,155) PROBE0 nodes=4159
T2 sh18 cell=(264,147) PROBE0 nodes=2560
T2 sh21 cell=(96,71) PROBE0 nodes=19064
T3[t=1614s] shard19 r0 #325 cell=(201,66) sc=49045 nodes=215325 r=0
T2 sh6 cell=(81,74) PROBE0 nodes=8567
T2 sh21 cell=(146,71) PROBE0 nodes=768
DEATH sh23 liveend=0 estate=993068 reach=599630 dyn=165119 flow=0 geom=106636
PDEV sh23 try=0 kill=0 (0.0%) BJ try=13776 kill=3035 nodes=1048576
T2 sh12 cell=(179,112) PROBE0 nodes=661
T2 sh12 cell=(267,112) PROBE0 nodes=1412
T2 sh9 cell=(1,160) PROBE0 nodes=6087
T2 sh15 cell=(134,71) PROBE0 nodes=4616
DEATH sh2 liveend=0 estate=3734911 reach=2981020 dyn=133742 flow=0 geom=829964
PDEV sh2 try=0 kill=0 (0.0%) BJ try=49357 kill=40207 nodes=2097152
T3[t=1615s] shard10 r0 #282 cell=(163,64) sc=49900 nodes=27271 r=0
T2 sh15 cell=(139,72) PROBE0 nodes=796
T2 sh18 cell=(252,149) PROBE0 nodes=8039
T3[t=1616s] shard7 r0 #281 cell=(29,60) sc=49677 nodes=74871 r=0
T2 sh9 cell=(69,162) PROBE0 nodes=1801
T3[t=1616s] shard7 r0 #282 cell=(163,60) sc=49905 nodes=681 r=0
T2 sh18 cell=(251,150) PROBE0 nodes=2599
T3[t=1616s] shard11 r0 #295 cell=(31,44) sc=49305 nodes=442154 r=0
T2 sh12 cell=(144,117) PROBE0 nodes=5838
T2 sh12 cell=(214,117) PROBE0 nodes=1932
T3[t=1617s] shard11 r0 #296 cell=(198,45) sc=49426 nodes=7790 r=0
T2 sh24 cell=(1,64) PROBE0 nodes=19036
T3[t=1617s] shard11 r0 #297 cell=(121,48) sc=49483 nodes=1295 r=0
T2 sh12 cell=(98,121) PROBE0 nodes=1888
T2 sh18 cell=(102,151) PROBE0 nodes=7038
T2 sh12 cell=(156,121) PROBE0 nodes=731
T2 sh18 cell=(126,153) PROBE0 nodes=1350
T3[t=1618s] shard7 r0 #283 cell=(189,62) sc=49066 nodes=17242 r=0
DEATH sh16 liveend=0 estate=3744145 reach=2963695 dyn=142728 flow=0 geom=818948
PDEV sh16 try=0 kill=0 (0.0%) BJ try=49477 kill=39587 nodes=2097152
T2 sh9 cell=(106,163) PROBE0 nodes=10877
T3[t=1619s] shard7 r0 #284 cell=(124,63) sc=49434 nodes=1820 r=0
T2 sh6 cell=(142,75) PROBE0 nodes=760
T2 sh6 cell=(271,76) PROBE0 nodes=658
T2 sh12 cell=(13,122) PROBE0 nodes=6331
T3[t=1619s] shard11 r0 #298 cell=(190,51) sc=49333 nodes=12393 r=0
T2 sh15 cell=(192,73) PROBE0 nodes=19042
T3[t=1620s] shard11 r0 #299 cell=(67,52) sc=49897 nodes=911 r=0
T2 sh12 cell=(139,122) PROBE0 nodes=1436
T2 sh15 cell=(161,74) PROBE0 nodes=1096
T2 sh12 cell=(195,124) PROBE0 nodes=1508
T2 sh0 cell=(117,56) PROBE0 nodes=19466
T3[t=1621s] shard19 r0 #326 cell=(189,68) sc=49061 nodes=52721 r=0
T2 sh18 cell=(83,156) PROBE0 nodes=13302
DEATH sh20 liveend=0 estate=3594475 reach=2852039 dyn=141909 flow=0 geom=784541
PDEV sh20 try=0 kill=0 (0.0%) BJ try=47692 kill=37939 nodes=1048576
T3[t=1621s] shard14 r0 #328 cell=(204,65) sc=49170 nodes=95164 r=0
T2 sh9 cell=(29,164) PROBE0 nodes=11818
T3[t=1622s] shard14 r0 #329 cell=(117,66) sc=49512 nodes=1976 r=0
T2 sh24 cell=(104,65) PROBE0 nodes=1039
T2 sh18 cell=(249,156) PROBE0 nodes=4816
T3[t=1622s] shard14 r0 #330 cell=(138,67) sc=49448 nodes=1743 r=0
T2 sh21 cell=(200,73) PROBE0 nodes=12972
T3[t=1623s] shard17 r0 #3 cell=(31,47) sc=49312 nodes=130600 r=0
T3[t=1624s] shard7 r0 #285 cell=(238,63) sc=49659 nodes=26916 r=0
T2 sh24 cell=(220,65) PROBE0 nodes=4775
T3[t=1624s] shard2 r0 #303 cell=(38,63) sc=49735 nodes=3000001 r=-1
T2 sh21 cell=(256,73) PROBE0 nodes=1734
T2 sh21 cell=(33,74) PROBE0 nodes=1192
T2 sh15 cell=(98,75) PROBE0 nodes=19010
DEATH sh23 liveend=0 estate=1155266 reach=736810 dyn=165119 flow=0 geom=147600
PDEV sh23 try=0 kill=0 (0.0%) BJ try=15873 kill=5127 nodes=2097152
T3[t=1626s] shard1 r0 #300 cell=(11,64) sc=49720 nodes=334523 r=0
T3[t=1626s] shard1 r0 #301 cell=(147,64) sc=49745 nodes=663 r=0
T2 sh3 cell=(117,62) PROBE0 nodes=2376
T3[t=1627s] shard1 r0 #302 cell=(120,65) sc=49498 nodes=4475 r=0
T2 sh15 cell=(99,76) PROBE0 nodes=5376
T2 sh6 cell=(269,78) PROBE0 nodes=867
T2 sh6 cell=(50,79) PROBE0 nodes=1404
T3[t=1630s] shard25 r0 #288 cell=(27,40) sc=49648 nodes=155447 r=0
T3[t=1630s] shard16 r0 #325 cell=(46,69) sc=49770 nodes=3000001 r=-1
T3[t=1631s] shard2 r0 #304 cell=(170,63) sc=49156 nodes=26919 r=0
T3[t=1631s] shard25 r0 #289 cell=(114,41) sc=49080 nodes=3584 r=0
T2 sh18 cell=(38,157) PROBE0 nodes=23329
T2 sh9 cell=(46,165) PROBE0 nodes=25029
DEATH sh10 liveend=0 estate=3192924 reach=2504684 dyn=148465 flow=0 geom=680115
PDEV sh10 try=0 kill=0 (0.0%) BJ try=42523 kill=32142 nodes=1048576
T3[t=1633s] shard17 r0 #4 cell=(209,47) sc=49649 nodes=40120 r=0
T2 sh21 cell=(252,75) PROBE0 nodes=669
T2 sh6 cell=(196,79) PROBE0 nodes=13253
T2 sh18 cell=(1,158) PROBE0 nodes=6089
T2 sh18 cell=(123,158) PROBE0 nodes=1156
T2 sh18 cell=(267,158) PROBE0 nodes=1585
T2 sh9 cell=(43,166) PROBE0 nodes=4537
T3[t=1635s] shard5 r0 #311 cell=(17,38) sc=49588 nodes=310911 r=0
T3[t=1636s] shard11 r0 #300 cell=(195,52) sc=49274 nodes=74921 r=0
T3[t=1636s] shard22 r0 #327 cell=(13,68) sc=49697 nodes=198400 r=0
T2 sh9 cell=(70,167) PROBE0 nodes=1749
T3[t=1638s] shard5 r0 #312 cell=(237,40) sc=49397 nodes=9975 r=0
DEATH sh20 liveend=0 estate=3755486 reach=2989007 dyn=142115 flow=0 geom=825135
PDEV sh20 try=0 kill=0 (0.0%) BJ try=49789 kill=40012 nodes=2097152
T3[t=1638s] shard5 r0 #313 cell=(106,43) sc=49082 nodes=2672 r=0
T3[t=1639s] shard8 r0 #294 cell=(32,45) sc=49226 nodes=466228 r=0
T2 sh3 cell=(112,63) PROBE0 nodes=3032
T3[t=1640s] shard16 r0 #326 cell=(104,69) sc=49694 nodes=26832 r=0
T3[t=1640s] shard23 r0 #8 cell=(12,66) sc=49684 nodes=3000001 r=-1
T2 sh3 cell=(89,64) PROBE0 nodes=977
T3[t=1640s] shard17 r0 #5 cell=(195,53) sc=49269 nodes=36111 r=0
T2 sh3 cell=(159,66) PROBE0 nodes=1000
T2 sh6 cell=(237,80) PROBE0 nodes=24416
T3[t=1642s] shard22 r0 #328 cell=(186,69) sc=49161 nodes=26946 r=0
T2 sh9 cell=(33,168) PROBE0 nodes=12659
T2 sh9 cell=(122,169) PROBE0 nodes=1116
T2 sh12 cell=(87,130) PROBE0 nodes=6716
T2 sh18 cell=(32,161) PROBE0 nodes=22484
T3[t=1646s] shard16 r0 #327 cell=(240,69) sc=49018 nodes=17602 r=0
T3[t=1647s] shard1 r0 #303 cell=(23,66) sc=49562 nodes=68288 r=0
T2 sh18 cell=(250,163) PROBE0 nodes=2533
T3[t=1647s] shard1 r0 #304 cell=(87,66) sc=50092 nodes=841 r=0
T3[t=1647s] shard1 r0 #305 cell=(149,66) sc=49751 nodes=781 r=0
T2 sh18 cell=(129,164) PROBE0 nodes=1667
T2 sh12 cell=(89,132) PROBE0 nodes=6750
T2 sh12 cell=(126,137) PROBE0 nodes=1042
T2 sh18 cell=(204,165) PROBE0 nodes=2675
T3[t=1649s] shard13 r0 #309 cell=(52,73) sc=49625 nodes=244154 r=0
T2 sh9 cell=(25,174) PROBE0 nodes=12095
T2 sh18 cell=(123,168) PROBE0 nodes=1404
T3[t=1649s] shard13 r0 #310 cell=(238,73) sc=49653 nodes=1486 r=0
T2 sh12 cell=(245,138) PROBE0 nodes=2132
T2 sh15 cell=(217,78) PROBE0 nodes=734
T2 sh15 cell=(152,79) PROBE0 nodes=705
T2 sh6 cell=(122,81) PROBE0 nodes=21796
T3[t=1650s] shard1 r0 #306 cell=(213,66) sc=49486 nodes=9681 r=0
